Date,Open,High,Low,Close,Volume
2021-07-29,141.03684881635502,142.8498878684949,140.92962551695572,141.96286010742188,56699500
2021-07-30,140.7347389541691,142.63550292557247,140.47155167396267,142.1773681640625,70440600
2021-08-02,142.6646895204393,143.2397895751834,141.582714310116,141.8459014892578,62880000
2021-08-03,142.12859665195967,144.30228959895823,141.51449808960257,143.63946533203125,64786600
2021-08-04,143.55173491626834,144.05859526042843,142.58672505684436,143.23980712890625,56368300
2021-08-05,143.26903344221475,144.107320690727,142.47948676454712,143.34701538085938,46397700
2021-08-06,142.86869219057516,143.61060825982952,142.16581806356817,142.66368103027344,54126800
2021-08-09,142.72226739584752,143.21037365568,142.05845003246944,142.61488342285156,48908700
2021-08-10,142.9565198163916,144.19631350606738,141.84363848192044,142.13650512695312,69023100
2021-08-11,142.57586365028985,143.2299243526894,142.0682288902845,142.390380859375,48493500
2021-08-12,142.71245110077322,145.50441833818107,142.37077090309373,145.3482208251953,72282600
2021-08-13,145.42637130499,145.88519235268876,144.74302556240244,145.55328369140625,59375000
2021-08-16,145.00660783223563,147.59358006664493,142.9858555687735,147.52523803710938,103296000
2021-08-17,146.65635150331968,148.07185618392833,145.54347021491796,146.6173095703125,92229700
2021-08-18,146.2365903149313,147.13470375005627,142.6734068529053,142.87841796875,86326000
2021-08-19,141.5800696426097,144.4794213850425,141.0626783117476,143.21034240722656,86960300
2021-08-20,143.93275769698107,144.96754045087513,143.28845394220284,144.6649169921875,60549600
2021-08-23,144.78202147056598,146.61730507779947,144.3720141553827,146.1487274169922,60131800
2021-08-24,145.89492826143862,147.27139120779157,145.60206158624175,146.06088256835938,48606400
2021-08-25,146.24636116832204,146.74423897086186,144.28417982272728,144.8308563232422,58991300
2021-08-26,144.82107882892396,145.57275146160703,144.00104929973693,144.03033447265625,48597200
2021-08-27,143.97178711441077,145.21158091727293,143.33725507209095,145.06515502929688,55802400
2021-08-30,145.45562564226032,149.83882401907485,145.07490345956626,149.4776153564453,90956700
2021-08-31,149.0285807911714,149.16524992421503,147.6911597437249,148.21832275390625,86453100
2021-09-01,149.1945515081308,151.2934023311897,148.71620204197066,148.8821563720703,80313700
2021-09-02,150.20980882981786,151.03959539227287,148.7747752992504,149.9950408935547,71115500
